Ativo,Fechamento Anterior,5 dias,10 dias,20 dias,30 dias,60 dias,90 dias,% Probabilidade
VALE3,85.94,86.31,86.71,87.67,88.45,91.0,93.76,59.48
PETR4,25.29,25.39,25.53,25.82,26.06,26.91,27.78,57.69
ITUB4,25.0,25.03,25.04,25.04,25.03,25.1,25.14,47.23
BBDC4,13.97,13.95,13.95,13.95,13.94,13.9,13.86,44.23
B3SA3,11.6,11.63,11.66,11.71,11.75,11.86,12.01,51.01
ABEV3,13.62,13.61,13.59,13.57,13.53,13.45,13.38,42.21
JBSS3,19.83,19.9,19.97,20.16,20.31,20.73,21.2,55.62
BBAS3,39.96,40.07,40.11,40.3,40.48,40.87,41.29,50.65
SUZB3,47.42,47.57,47.75,48.09,48.4,49.51,50.58,55.88
GGBR4,28.53,28.64,28.76,28.97,29.19,29.91,30.65,55.87
SBSP3,52.6,52.7,52.82,53.05,53.21,53.99,54.63,51.36
MGLU3,3.42,3.42,3.43,3.45,3.45,3.48,3.5,45.57
CSNA3,17.71,17.77,17.81,17.88,17.99,18.34,18.71,50.24
PETR3,28.81,28.97,29.11,29.42,29.74,30.65,31.59,56.51
MRFG3,6.97,6.98,7.01,7.02,7.05,7.12,7.18,47.99
USIM5,7.22,7.21,7.21,7.2,7.2,7.2,7.24,44.15
VIIA3,1.96,1.95,1.94,1.92,1.9,1.84,1.79,34.16
ELET3,32.71,32.8,32.89,33.09,33.28,33.76,34.26,49.13
CIEL3,5.22,5.2,5.18,5.13,5.09,4.97,4.85,34.76
WEGE3,39.94,40.15,40.36,40.83,41.31,42.83,44.35,63.62
PRIO3,34.58,35.02,35.53,36.45,37.43,40.4,43.72,64.96
ELET6,34.7,34.78,34.86,35.02,35.15,35.59,36.17,50.21
ITSA4,8.28,8.29,8.29,8.3,8.31,8.35,8.4,49.58
RENT3,55.86,56.14,56.34,56.72,57.27,58.7,60.2,54.99
EQTL3,25.93,26.01,26.08,26.23,26.42,26.89,27.39,58.98
RADL3,24.26,24.31,24.36,24.47,24.58,24.85,25.15,53.73
RDOR3,24.9,24.69,24.48,24.1,23.73,22.49,21.34,22.88
BPAC11,20.47,20.59,20.72,20.96,21.21,21.95,22.81,58.65
BBSE3,34.66,34.75,34.82,34.97,35.14,35.63,36.09,56.02
RAIL3,18.88,18.93,18.97,19.06,19.15,19.4,19.62,52.0
CSAN3,15.36,15.39,15.43,15.5,15.57,15.78,16.02,52.28
LREN3,19.59,19.59,19.57,19.52,19.47,19.31,19.14,41.18
HYPE3,42.22,42.32,42.39,42.53,42.68,43.05,43.5,51.76
VBBR3,15.03,15.02,15.02,15.01,15.01,15.02,15.0,44.62
ASAI3,18.05,18.09,18.13,18.22,18.31,18.58,18.86,55.06
CMIG4,10.66,10.71,10.75,10.83,10.92,11.17,11.43,57.17
TOTS3,28.16,28.27,28.39,28.62,28.85,29.47,30.2,56.21
KLBN11,19.7,19.72,19.75,19.79,19.82,19.95,20.02,50.04
NTCO3,15.48,15.4,15.31,15.16,14.99,14.51,14.05,32.37
HAPV3,2.97,2.96,2.95,2.94,2.92,2.88,2.83,37.7
BRFS3,7.01,6.96,6.91,6.82,6.72,,,
RRRP3,33.01,33.1,33.26,33.52,33.83,34.7,35.51,52.58
MULT3,25.17,25.17,25.17,25.18,25.19,25.2,25.27,45.86
ALSO3,17.49,17.47,17.43,17.36,17.29,17.11,16.94,40.42
CYRE3,15.92,15.94,15.98,16.04,16.1,16.26,16.44,47.82
AZUL4,11.89,11.85,11.82,11.77,11.68,11.43,11.23,36.58
PETZ3,6.7,6.65,6.6,6.51,6.41,6.17,5.92,29.52
LWSA3,5.3,5.3,5.3,5.31,5.31,5.3,5.29,40.82
CVCB3,3.74,3.7,3.66,3.61,3.54,3.36,3.19,28.09
